PartNumber / Unique Identifier,Source Document,Vendor,Variable Group,Variable Category,Variable Type,Vendor Specific Variable Name,Vendor Variable Description,Measurement Unit,Measurement Period,Description, Value 
,,AWS,Core Variables,Compute,Per vCPU,,,Per vCPU,Hourly,,
,,AWS,Core Variables,Compute,Per RAM (Gb),,,Per GB,Hourly,,
GNTZT3S6E3P2FW6X.JRTCKXETXF.6YS6EN2CT7,,AWS,Core Variables,Block Storage,Block Tier 1 (Premium SSD),EBS - IO1,,Per GB,Monthly,, $0.17 
5ES53GWNC5G54Q44.JRTCKXETXF.6YS6EN2CT7,,AWS,Core Variables,Block Storage,Block Tier 2 (Standard SSD),EBS - General Purpose (SSD),,Per GB,Monthly,, $0.15 
FHQF8UD4V5RWYMZQ.JRTCKXETXF.6YS6EN2CT7,,AWS,Core Variables,Block Storage,Block Tier 3 (Standard HDD),EBS - Throughput Optimized (HDD),,Per GB,Monthly,, $0.07 
,,AWS,Core Variables,Block Storage,Block Backup (SSD),None,,Per GB,Monthly,,  
FHQF8UD4V5RWYMZQ.JRTCKXETXF.6YS6EN2CT7,,AWS,Core Variables,Block Storage,Block Backup (HDD),EBS - Snapshot,,Per GB,Monthly,, $0.07 
,,AWS,Core Variables,Block Storage,Block Storage Blend,,,Per GB,Monthly,Standalone Calc, $0.11 
5QVJMK36NJC9G6DC.JRTCKXETXF.D42MF2PVJS,,AWS,Core Variables,Object Storage,Standard Object ,S3 Standard Storage,,Per GB,Monthly,, $0.03 
5QVJMK36NJC9G6DC.JRTCKXETXF.D42MF2PVJS,,AWS,Core Variables,Object Storage,Object Backup (Cold),S3 Infrequent Access,,Per GB,Monthly,, $0.02 
USQRXKZKBTSQTMN2.JRTCKXETXF.6YS6EN2CT7,,AWS,Core Variables,Object Storage,Object Backup (Archive),S3 Glacier Storage,,Per GB,Monthly,, $0.01 
,,AWS,Core Variables,Backup Storage,Prod,,,Per GB,Monthly,, $0.16 
,,AWS,Core Variables,Backup Storage,Non-Prod,,,Per GB,Monthly,, $0.16 
,,AWS,Core Variables,Backup Storage,Prod DB,,,Per GB,Monthly,, $0.16 
,,AWS,Core Variables,Backup Storage,Non-Prod DB,,,Per GB,Monthly,, $0.16 
,,AWS,Core Variables,External Vendor Tech Support,Monthly OSI Support,,,Per OSI,Monthly,,
,,AWS,Core Variables,Internal Tech Support,Monthly OSI Support,,,Per OSI,Monthly,, $87.60 
,,Azure,Core Variables,Compute,Per vCPU,,,Per vCPU,Hourly,,
,,Azure,Core Variables,Compute,Per RAM (Gb),,,Per GB,Hourly,,
