partNumber,Vendor,EffectiveDate,Meter Category,Instance Series,Instance Name,vCPU,RAM,Temporary Storage,Temporary Storage Type,Instance Family,Size,Tenancy,Reservation Type,Reservation Length,Meter Region,Operating System,Licence Model,Azure Environment,Azure Priority,Azure Source,Azure Hosting Type,Pricing ,Unit,Rate,Currency,Normalised Rate,Description
2UP79HGWAA77RBC5.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.2xlarge,8.00,16.00,0.00,EBS only,General purpose,8c / 16 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.185 ,USD, $0.23 ,
2UP79HGWAA77RBC5.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.2xlarge,8.00,16.00,0.00,EBS only,General purpose,8c / 16 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.141 ,USD, $0.17 ,
2UP79HGWAA77RBC5.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,a1,a1.2xlarge,8.00,16.00,0.00,EBS only,General purpose,8c / 16 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.283 ,USD, $0.35 ,
7EECUR8DAMYMY8JV.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.2xlarge,8.00,16.00,0.00,EBS only,General purpose,8c / 16 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.299 ,USD, $0.37 ,
7EECUR8DAMYMY8JV.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.2xlarge,8.00,16.00,0.00,EBS only,General purpose,8c / 16 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.255 ,USD, $0.31 ,
7EECUR8DAMYMY8JV.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,a1,a1.2xlarge,8.00,16.00,0.00,EBS only,General purpose,8c / 16 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.396 ,USD, $0.49 ,
ABQEYUKMNHM3R6B3.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.2xlarge,8.00,16.00,0.00,EBS only,General purpose,8c / 16 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.169 ,USD, $0.21 ,
ABQEYUKMNHM3R6B3.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.2xlarge,8.00,16.00,0.00,EBS only,General purpose,8c / 16 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.125 ,USD, $0.15 ,
ABQEYUKMNHM3R6B3.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,a1,a1.2xlarge,8.00,16.00,0.00,EBS only,General purpose,8c / 16 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.266 ,USD, $0.33 ,
D5XG23APR65M5SYE.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.2xlarge,8.00,16.00,0.00,EBS only,General purpose,8c / 16 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.245 ,USD, $0.30 ,
D5XG23APR65M5SYE.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.2xlarge,8.00,16.00,0.00,EBS only,General purpose,8c / 16 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.195 ,USD, $0.24 ,
D5XG23APR65M5SYE.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,a1,a1.2xlarge,8.00,16.00,0.00,EBS only,General purpose,8c / 16 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.433 ,USD, $0.53 ,
R93VDPSWSWYF76SX.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.2xlarge,8.00,16.00,0.00,EBS only,General purpose,8c / 16 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.229 ,USD, $0.28 ,
R93VDPSWSWYF76SX.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.2xlarge,8.00,16.00,0.00,EBS only,General purpose,8c / 16 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.179 ,USD, $0.22 ,
R93VDPSWSWYF76SX.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,a1,a1.2xlarge,8.00,16.00,0.00,EBS only,General purpose,8c / 16 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.416 ,USD, $0.51 ,
U3XK7KHX6NG4JXYC.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.2xlarge,8.00,16.00,0.00,EBS only,General purpose,8c / 16 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.315 ,USD, $0.39 ,
U3XK7KHX6NG4JXYC.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.2xlarge,8.00,16.00,0.00,EBS only,General purpose,8c / 16 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.271 ,USD, $0.33 ,
U3XK7KHX6NG4JXYC.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,a1,a1.2xlarge,8.00,16.00,0.00,EBS only,General purpose,8c / 16 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.413 ,USD, $0.51 ,
796GKR2RXF38WRWD.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.4xlarge,16.00,32.00,0.00,EBS only,General purpose,16c / 32 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.468 ,USD, $0.58 ,
796GKR2RXF38WRWD.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.4xlarge,16.00,32.00,0.00,EBS only,General purpose,16c / 32 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.381 ,USD, $0.47 ,
796GKR2RXF38WRWD.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,a1,a1.4xlarge,16.00,32.00,0.00,EBS only,General purpose,16c / 32 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.663 ,USD, $0.82 ,
8VNABJWRBGBMT7CQ.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.4xlarge,16.00,32.00,0.00,EBS only,General purpose,16c / 32 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.468 ,USD, $0.58 ,
8VNABJWRBGBMT7CQ.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.4xlarge,16.00,32.00,0.00,EBS only,General purpose,16c / 32 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.381 ,USD, $0.47 ,
8VNABJWRBGBMT7CQ.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,a1,a1.4xlarge,16.00,32.00,0.00,EBS only,General purpose,16c / 32 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.663 ,USD, $0.82 ,
BP2YC6TK4EVA6MGX.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.4xlarge,16.00,32.00,0.00,EBS only,General purpose,16c / 32 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.338 ,USD, $0.42 ,
BP2YC6TK4EVA6MGX.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.4xlarge,16.00,32.00,0.00,EBS only,General purpose,16c / 32 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.251 ,USD, $0.31 ,
